epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.349,1.16629,2.39435,1.07373,0.96019,0.66942,0.85833,0.59671,1.03962,2.57428,0.95333,0.000655738,0.000655738,0.000655738
2,30.9545,1.05848,1.48279,1.00484,0.95154,0.97369,0.99224,0.71823,1.02417,1.30114,1.00066,0.00129622,0.00129622,0.00129622
3,42.6258,1.05397,1.27779,0.99108,0.9667,0.95977,0.9918,0.68611,0.97745,0.94646,0.97996,0.0019103,0.0019103,0.0019103
4,52.8493,1.00236,1.13743,0.97597,0.98276,0.94234,0.98991,0.72003,0.95294,0.93051,0.97781,0.0018812,0.0018812,0.0018812
5,63.8655,1.0044,1.02286,0.98594,0.99546,0.99174,0.995,0.73558,0.92855,0.75417,0.96051,0.0018416,0.0018416,0.0018416
6,75.2587,0.93304,0.8894,0.95248,0.99159,0.97394,0.98791,0.7417,0.8918,0.73917,0.92914,0.001802,0.001802,0.001802
7,86.7425,0.91574,0.84099,0.92933,0.98907,1,0.99475,0.74141,0.891,0.64849,0.90833,0.0017624,0.0017624,0.0017624
8,97.5322,0.92973,0.80931,0.95467,0.97551,0.98747,0.99185,0.71839,0.943,0.7348,0.94448,0.0017228,0.0017228,0.0017228
9,107.968,0.9431,0.73106,0.95348,0.99031,1,0.99492,0.73478,0.9783,0.58038,0.95715,0.0016832,0.0016832,0.0016832
10,119.368,0.9273,0.72954,0.95198,1,0.99687,0.995,0.76602,0.82286,0.5445,0.91398,0.0016436,0.0016436,0.0016436
11,130.661,0.86595,0.67895,0.92907,0.96556,0.98347,0.97851,0.74538,0.87167,0.55613,0.91762,0.001604,0.001604,0.001604
12,142.157,0.854,0.64907,0.92649,0.99349,0.99174,0.995,0.76873,0.84268,0.5075,0.89229,0.0015644,0.0015644,0.0015644
13,151.956,0.86954,0.64767,0.90851,0.9918,0.99922,0.99492,0.76243,0.83421,0.49148,0.89215,0.0015248,0.0015248,0.0015248
14,163.593,0.8411,0.60984,0.91426,0.99824,0.99174,0.995,0.75717,0.8705,0.51478,0.89966,0.0014852,0.0014852,0.0014852
15,175.036,0.88835,0.6249,0.90981,0.99057,1,0.995,0.80235,0.77885,0.47019,0.89209,0.0014456,0.0014456,0.0014456
16,186.409,0.83661,0.58927,0.91582,0.99872,1,0.995,0.77307,0.81708,0.47344,0.8814,0.001406,0.001406,0.001406
17,197.358,0.81666,0.58124,0.90028,0.98189,1,0.99376,0.79996,0.77755,0.45858,0.87731,0.0013664,0.0013664,0.0013664
18,207.362,0.80425,0.55629,0.90556,1,0.99767,0.995,0.79125,0.76885,0.46009,0.87664,0.0013268,0.0013268,0.0013268
19,218.839,0.84008,0.56654,0.89737,0.99891,0.98347,0.99492,0.78883,0.80816,0.44942,0.89076,0.0012872,0.0012872,0.0012872
20,230.87,0.81288,0.55251,0.89815,0.99876,1,0.995,0.8078,0.77751,0.44408,0.88588,0.0012476,0.0012476,0.0012476
21,242.51,0.81077,0.55524,0.9026,0.99863,1,0.995,0.78746,0.84269,0.49481,0.89104,0.001208,0.001208,0.001208
22,253.924,0.80068,0.54146,0.90069,0.99921,1,0.995,0.79821,0.75971,0.4497,0.87799,0.0011684,0.0011684,0.0011684
23,264.218,0.76111,0.51289,0.89299,0.99873,1,0.995,0.81704,0.73806,0.422,0.87967,0.0011288,0.0011288,0.0011288
24,275.719,0.76493,0.5206,0.89283,0.99876,1,0.995,0.7873,0.80698,0.4511,0.89293,0.0010892,0.0010892,0.0010892
25,287.266,0.75711,0.51043,0.8817,1,0.99849,0.995,0.7928,0.78212,0.43123,0.87371,0.0010496,0.0010496,0.0010496
26,298.881,0.78961,0.50071,0.90046,0.99936,1,0.995,0.80852,0.75103,0.41711,0.86045,0.00101,0.00101,0.00101
27,310.337,0.75775,0.49527,0.88448,0.99914,1,0.995,0.79995,0.79295,0.41345,0.88343,0.0009704,0.0009704,0.0009704
28,320.55,0.74064,0.50324,0.88995,0.99935,1,0.995,0.81225,0.73711,0.41257,0.85804,0.0009308,0.0009308,0.0009308
29,331.573,0.71744,0.46942,0.89785,0.99764,1,0.995,0.8217,0.73328,0.3913,0.85904,0.0008912,0.0008912,0.0008912
30,342.964,0.72912,0.47024,0.88328,1,0.99949,0.995,0.80595,0.77602,0.42929,0.8642,0.0008516,0.0008516,0.0008516
31,354.28,0.74159,0.46657,0.8829,0.99849,1,0.995,0.83425,0.69665,0.37522,0.8546,0.000812,0.000812,0.000812
32,365.569,0.72255,0.46565,0.8773,0.99911,1,0.995,0.83359,0.70409,0.38374,0.85237,0.0007724,0.0007724,0.0007724
33,375.821,0.71552,0.44389,0.87846,0.99972,1,0.995,0.81995,0.73194,0.39045,0.85707,0.0007328,0.0007328,0.0007328
34,387.042,0.71546,0.46359,0.88178,0.99904,1,0.995,0.81741,0.7359,0.38363,0.85362,0.0006932,0.0006932,0.0006932
35,398.26,0.70211,0.44213,0.88157,0.99927,1,0.995,0.83064,0.70227,0.36419,0.85204,0.0006536,0.0006536,0.0006536
36,409.474,0.70857,0.44948,0.88324,0.99937,1,0.995,0.82387,0.70715,0.37715,0.85108,0.000614,0.000614,0.000614
37,420.659,0.67578,0.42536,0.86675,0.99785,1,0.995,0.83236,0.69646,0.35673,0.85158,0.0005744,0.0005744,0.0005744
38,430.372,0.64455,0.41653,0.85051,0.99114,1,0.99492,0.82774,0.69617,0.35418,0.84998,0.0005348,0.0005348,0.0005348
39,442.079,0.68566,0.41945,0.86884,0.99911,1,0.995,0.82868,0.76535,0.3659,0.86086,0.0004952,0.0004952,0.0004952
40,453.452,0.70235,0.43947,0.87165,0.99933,1,0.995,0.84049,0.68804,0.33607,0.85004,0.0004556,0.0004556,0.0004556
