epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6008,0.47138,0.3013,0.82137,0.9994,1,0.995,0.82799,0.71212,0.31638,0.85634,0.0006,0.0006,0.0006
2,27.8516,0.49795,0.31645,0.83268,0.99951,1,0.995,0.83569,0.72349,0.34381,0.86678,0.00117169,0.00117169,0.00117169
3,38.5818,0.51492,0.34153,0.83142,0.99916,1,0.995,0.8274,0.74355,0.33666,0.87976,0.00169427,0.00169427,0.00169427
4,48.6897,0.55761,0.35535,0.83598,0.99922,0.99174,0.995,0.81689,0.74341,0.33941,0.88273,0.0017624,0.0017624,0.0017624
5,57.172,0.54421,0.33859,0.83736,1,0.99954,0.995,0.821,0.72519,0.32561,0.86667,0.0016832,0.0016832,0.0016832
6,70.1567,0.56632,0.33547,0.83062,1,0.99949,0.995,0.82796,0.72911,0.33383,0.85807,0.001604,0.001604,0.001604
7,80.432,0.56497,0.34283,0.83914,0.99907,0.99174,0.995,0.82491,0.72601,0.33225,0.86555,0.0015248,0.0015248,0.0015248
8,88.7947,0.52441,0.32339,0.83799,0.9918,0.99937,0.995,0.83761,0.7133,0.32467,0.86291,0.0014456,0.0014456,0.0014456
9,99.4996,0.52211,0.32591,0.8266,0.99838,0.99174,0.995,0.82611,0.71138,0.35062,0.86366,0.0013664,0.0013664,0.0013664
10,111.972,0.4894,0.32141,0.82909,0.99935,0.99174,0.995,0.82604,0.72766,0.35283,0.85653,0.0012872,0.0012872,0.0012872
11,121.91,0.52212,0.32512,0.83075,1,0.9991,0.995,0.84432,0.71444,0.32284,0.86855,0.001208,0.001208,0.001208
12,130.393,0.48555,0.30953,0.82687,0.99906,0.99174,0.995,0.83932,0.71996,0.32704,0.85959,0.0011288,0.0011288,0.0011288
13,143.462,0.48013,0.32431,0.81461,0.99951,1,0.995,0.85108,0.7115,0.33021,0.85742,0.0010496,0.0010496,0.0010496
14,154.235,0.53304,0.33419,0.84644,0.9995,1,0.995,0.84309,0.67574,0.30281,0.84888,0.0009704,0.0009704,0.0009704
15,163.823,0.46872,0.30084,0.80333,0.99955,1,0.995,0.8561,0.66848,0.30192,0.84543,0.0008912,0.0008912,0.0008912
16,174.024,0.42979,0.27044,0.81241,0.99938,1,0.995,0.84181,0.70747,0.30802,0.86249,0.000812,0.000812,0.000812
17,183.658,0.42017,0.26862,0.79908,0.99834,1,0.995,0.84713,0.69474,0.31705,0.86258,0.0007328,0.0007328,0.0007328
18,193.323,0.43155,0.27364,0.80503,0.9995,1,0.995,0.84493,0.7001,0.29761,0.86092,0.0006536,0.0006536,0.0006536
19,201.279,0.40953,0.26102,0.80883,0.99987,1,0.995,0.84578,0.70091,0.31888,0.8592,0.0005744,0.0005744,0.0005744
20,210.726,0.40084,0.25964,0.80216,0.99952,1,0.995,0.84609,0.71653,0.31862,0.86631,0.0004952,0.0004952,0.0004952
21,220.082,0.40482,0.25488,0.80956,0.99952,1,0.995,0.84433,0.681,0.30445,0.85902,0.000416,0.000416,0.000416
22,228.327,0.38133,0.25336,0.7925,0.9995,1,0.995,0.85006,0.68503,0.30065,0.85036,0.0003368,0.0003368,0.0003368
23,237.872,0.38178,0.24703,0.79275,0.99945,1,0.995,0.85194,0.68737,0.30539,0.85034,0.0002576,0.0002576,0.0002576
24,246.763,0.37149,0.24046,0.79432,0.99942,1,0.995,0.85895,0.68171,0.29467,0.8525,0.0001784,0.0001784,0.0001784
25,255.432,0.35729,0.23918,0.79962,0.99942,1,0.995,0.84926,0.68819,0.29215,0.8548,9.92e-05,9.92e-05,9.92e-05
